Sample Name,Sample Type,HELPER,BATCH,Betaine,Choline,Cystamine,Cysteamine,Cytidine,Glycine,Methionine,Phe-d8,Phenylalanine,Serine,Threonine,TMAOd9,TMNO,Valine,Valine-d8,AccoA.M0-0(PO3),AcAccoA.M0-0(PO3),Phe-d8(NEG),Pump A press,Pump B press,Oven Temp,Cooler Temp,Room Temp,Run Order,Sample Number,Tray
QC9,QC,9.0,1.0,300567144.8,3275294.981,589293.117,7128.385223,50316.81409,74604.76362,1933794.313,16943664.56,48333204.23,101285.3252,1620416.431,88888574.36,16548551.07,10542995.49,1359814.022,40455.44943,128122.3443,2136388.727,401216.5083,724038.6506,,,,26.0,QC9,1.0
QC10,QC,10.0,1.0,283109821.3,2969838.894,423692.1036,4019.495746,57277.48667,47656.57224,1976447.44,15496872.97,42401801.59,,1014762.352,107114632.7,12463099.37,5440678.812,1281517.693,33402.92315,102829.5538,1835947.704,405452.0966,731457.9776,,,,27.0,QC10,1.0
QC11,QC,11.0,1.0,175295578.5,1978555.749,441325.8248,7535.594303,55166.95354,67200.08582,1356201.319,14719525.47,61246471.67,191255.4555,1812483.948,73775057.41,14937898.6,2838635.439,2325944.152,30481.52865,101361.7236,1882849.973,401917.9454,727145.0676,,,,49.0,QC11,1.0
QC12,QC,12.0,1.0,235242287.6,2054165.215,429073.5733,5389.742427,49949.34232,52294.5058,1832383.905,11710830.84,48241148.43,96651.51471,1297997.55,65918529.66,16686757.79,7813015.59,1567665.743,27796.42951,97938.32064,1811847.626,400770.6936,726335.7659,,,,50.0,QC12,1.0
QC13,QC,13.0,1.0,252934329.9,2381737.445,361728.2865,5050.546973,48731.98421,60987.73524,1454641.168,13056302.19,43589066.08,154994.2653,1632698.854,64287785.28,15101660.01,3711782.218,1750363.538,26645.38644,92782.59326,1772497.133,400585.9157,721624.6411,,,,71.0,QC13,1.0
QC14,QC,14.0,2.0,246033614.1,2350563.171,305877.9053,4454.104844,41971.38394,55202.97435,1285379.254,10574236.78,38968549.73,102130.2892,1585523.172,84479484.03,14068967.54,4604172.762,1546964.001,19293.7625,84099.9891,1825432.04,398758.2452,717982.3734,,,,72.0,QC14,1.0
QC14,QC,14.0,2.0,246033614.1,2350563.171,305877.9053,4454.104844,41971.38394,55202.97435,1285379.254,10574236.78,38968549.73,102130.2892,1585523.172,84479484.03,14068967.54,4604172.762,1546964.001,19293.7625,84099.9891,1825432.04,398758.2452,717982.3734,,,,123.0,QC14,2.0
QC15,QC,15.0,2.0,266371479.4,2272056.948,340596.7851,1914.428928,45293.97109,81079.0229,1368493.648,11566388.77,46205710.88,,1292927.973,98770280.56,15909250.23,5351627.454,1806237.15,18320.38191,75562.02596,1771381.982,400017.4786,718517.7279,,,,93.0,QC15,1.0
QC15,QC,15.0,2.0,266371479.4,2272056.948,340596.7851,1914.428928,45293.97109,81079.0229,1368493.648,11566388.77,46205710.88,,1292927.973,98770280.56,15909250.23,5351627.454,1806237.15,18320.38191,75562.02596,1771381.982,400017.4786,718517.7279,,,,124.0,QC15,2.0
QC16,QC,16.0,2.0,244689841.0,1779755.777,497098.4432,3082.226432,43559.0423,55343.2884,1167605.364,12347781.98,41652762.33,51147.3356,1953117.537,45460354.05,15748617.18,11548125.26,1150822.29,25988.85025,83948.21195,1880321.223,397819.7141,719197.9272,,,,94.0,QC16,1.0
QC16,QC,16.0,2.0,244689841.0,1779755.777,497098.4432,3082.226432,43559.0423,55343.2884,1167605.364,12347781.98,41652762.33,51147.3356,1953117.537,45460354.05,15748617.18,11548125.26,1150822.29,25988.85025,83948.21195,1880321.223,397819.7141,719197.9272,,,,145.0,QC16,2.0
QC17,QC,17.0,2.0,201476488.6,2660063.367,390483.5585,4007.327015,60304.75455,70345.45493,1854227.84,9154173.749,48672873.71,956563.4845,2203268.029,90304780.53,10222045.65,4266664.574,1160373.046,23651.74841,75946.66905,2373622.506,399089.9741,719979.2071,,,,146.0,QC17,2.0
QC18,QC,18.0,2.0,198445750.8,978387.0538,273887.0024,4335.114396,29267.57649,36008.67067,797874.7233,11044199.7,30534429.51,51260.91215,1024158.758,47246203.28,11050253.55,4720352.575,1620356.794,13799.99004,48065.98567,1520609.426,399345.9398,724822.9746,,,,167.0,QC18,2.0
QC19,QC,19.0,2.0,192621431.3,1189716.123,312766.1242,2540.44373,18550.11728,46135.35251,966797.675,10934129.37,34004830.39,238311.4306,1280127.402,32552441.65,13171167.53,2468676.142,1284221.94,13427.49683,48171.08034,1420197.176,397033.2051,717910.0729,,,,168.0,QC19,2.0
QC20,QC,20.0,2.0,203068491.5,2079365.363,334960.8369,4733.876116,34248.569,60074.56023,1285080.911,9384208.983,43083348.74,144479.3852,1471941.739,59700960.89,12959463.22,1712228.397,1469827.767,15481.56063,56201.7583,1616915.015,397602.4686,715284.4864,,,,189.0,QC20,2.0
QC20,QC,20.0,2.0,203068491.5,2079365.363,334960.8369,4733.876116,34248.569,60074.56023,1285080.911,9384208.983,43083348.74,144479.3852,1471941.739,59700960.89,12959463.22,1712228.397,1469827.767,15481.56063,56201.7583,1616915.015,397602.4686,715284.4864,,,,228.0,QC20,3.0
QC21,QC,21.0,2.0,219070845.2,3031039.483,346619.4463,7570.250669,31572.36209,49882.21219,964909.3465,9442734.4,36091636.1,115045.3712,1559701.779,90307082.77,10517178.99,2923110.907,1400007.416,19555.86524,59653.57518,1944841.338,396303.5341,716733.4692,,,,190.0,QC21,2.0
QC21,QC,21.0,2.0,219070845.2,3031039.483,346619.4463,7570.250669,31572.36209,49882.21219,964909.3465,9442734.4,36091636.1,115045.3712,1559701.779,90307082.77,10517178.99,2923110.907,1400007.416,19555.86524,59653.57518,1944841.338,396303.5341,716733.4692,,,,229.0,QC21,3.0
QC22,QC,22.0,3.0,373061228.8,3299916.382,986268.6045,14761.99419,50242.98952,103053.399,1924474.219,19802246.61,62640131.97,80458.42785,2598075.44,111021370.0,19002870.71,9750256.765,2759420.344,26473.43745,100712.5825,3257316.131,408071.1045,724130.2113,,,,250.0,QC22,3.0
QC23,QC,23.0,3.0,397029620.0,3477678.01,996881.9985,16652.56393,60936.01403,100509.7654,2088203.421,21731189.43,73419548.92,82435.83096,2998925.981,114402378.6,21485071.14,9714186.594,2582078.228,29557.10194,135430.3958,3156481.934,408212.5341,723148.7038,,,,251.0,QC23,3.0
QC24,QC,24.0,3.0,408071089.7,3991623.977,879977.0227,9113.367438,65198.25314,98891.34053,2089367.717,26154871.26,67979535.32,474404.8077,3615953.959,129684708.8,23160110.74,10738716.29,3151240.665,31357.09777,131877.4547,3186093.047,418487.4173,752056.8018,,,,272.0,QC24,3.0
QC25,QC,25.0,3.0,443520330.9,4285647.74,1120865.725,15461.6919,83275.76657,117983.4037,2484145.824,24223877.96,84354655.22,315385.5866,3619597.24,122891001.1,24912044.22,12938347.34,3018047.04,33521.00818,151785.9168,3207133.503,419020.1647,749557.1942,,,,273.0,QC25,3.0
QC26,QC,26.0,3.0,371991778.0,3147888.677,1190191.01,17226.36504,63188.18601,93800.05689,2085147.111,21127659.05,73813086.27,85327.26007,3050594.643,107622908.5,19885753.0,9950819.876,2667088.316,25841.1419,120585.0996,3053411.939,397577.602,714901.8194,,,,294.0,QC26,3.0
QC27,QC,27.0,3.0,385570887.2,3311546.891,1144790.74,16172.26967,67717.36144,89747.49903,2160763.586,22314044.31,77809697.48,327678.6421,3116376.386,103450777.3,21543590.42,11074542.03,2751037.873,26012.98057,142149.368,2904313.773,398808.2149,715210.8233,,,,295.0,QC27,3.0
QC28,QC,28.0,4.0,426460863.1,3825627.599,892564.6965,15005.68964,56304.83345,104562.6059,2135282.338,24693771.26,79039029.75,479110.1047,3573035.862,124626732.1,22909514.62,11143725.47,3172084.841,27882.01233,91419.69175,3245188.129,401410.1455,716677.3779,,,,329.0,QC28,4.0
QC29,QC,29.0,4.0,437378138.1,3969702.815,1065961.998,14772.06063,64420.11136,115510.8716,2408294.042,25052552.69,89485828.46,100374.1756,3302604.364,115578779.1,25054409.03,11268604.65,2826256.149,29752.79654,96166.88253,2800336.047,401873.0268,718108.0397,,,,330.0,QC29,4.0
QC30,QC,30.0,4.0,431422302.7,3972091.713,1027385.212,11967.12225,55333.43098,109526.3069,2457526.749,24356575.46,81662897.02,339268.1739,3862811.998,118946819.5,24216398.86,10857253.83,2819735.037,28995.32282,102561.3029,2955519.766,401457.1096,718813.6139,,,,351.0,QC30,4.0
QC31,QC,31.0,4.0,426384320.6,3745394.567,1098064.14,16361.37237,83866.34599,156570.7617,2693970.823,25381310.05,91438934.41,330247.3927,3727974.419,117490751.3,24233648.73,13102100.13,2990229.621,27965.54068,111824.2747,2980080.867,398176.0565,720494.2561,,,,352.0,QC31,4.0
QC32,QC,32.0,4.0,419393796.0,3789294.624,1173372.194,25388.78238,64155.72132,108316.6245,2344522.334,22858367.85,83646447.66,357952.7401,3220680.544,105354347.8,21859083.99,10868042.16,2679104.642,26863.15641,100101.7364,2709822.602,401493.3302,719876.8124,,,,373.0,QC32,4.0
QC33,QC,33.0,5.0,348030996.2,3199854.506,1107193.486,12624.87051,52224.11265,101860.8059,2175808.566,18472412.15,72876868.26,84946.87531,3397731.917,81983778.73,24800508.15,10457077.29,2118102.667,21238.57437,89227.92607,2030034.928,407841.539,726138.0476,,,,430.0,QC33,5.0
QC34,QC,34.0,5.0,328261272.9,3207453.642,1055578.765,14977.31272,53532.65166,94360.17063,2088194.737,21155667.61,72311793.13,237253.1569,2894427.193,92855457.43,23884950.07,9283727.649,2400285.528,21213.91234,84354.25969,2415021.17,406600.5164,723305.305,,,,431.0,QC34,5.0
QC35,QC,35.0,5.0,282371775.9,2754064.048,1018652.96,15406.54425,53623.39357,99891.35108,1993230.284,19444235.71,66015606.79,208992.093,2987359.662,75913553.96,21528917.8,7979134.919,2039005.029,21362.83993,99126.82704,2142893.964,403295.9178,727069.6699,,,,452.0,QC35,5.0
QC36,QC,36.0,5.0,328478976.0,3142590.28,1050277.555,13010.96492,71797.3356,74592.39103,2021320.978,18808606.32,69437934.03,270461.2854,3203614.176,93327177.09,22605290.24,9747166.425,2452297.716,17680.80462,109766.9338,2330666.832,409765.2082,727613.1346,,,,453.0,QC36,5.0
